data,id,command
2023-09-09-14-24,226154409,Список локаций в 2ГИС
2023-09-09-14-24,151039553,"В меню можете выбрать то, что вас интересует"
2023-09-09-14-24,151039553,"В меню можете выбрать то, что вас интересует"
2023-09-09-14-25,226154409,Показать все локации
2023-09-09-14-26,226154409,Вернуться в главное меню
2023-09-09-14-26,226154409,🟢Мы в соцсетях
2023-09-09-14-27,396676616,Ночная программа
2023-09-09-14-27,151039553,"В меню можете выбрать то, что вас интересует"
2023-09-09-14-27,750243913,/start
2023-09-09-14-27,750243913,"В меню можете выбрать то, что вас интересует"
2023-09-09-14-27,151039553,Показать все локации
2023-09-09-14-28,524846768,Образовательная программа
2023-09-09-14-28,266901333,Список локаций в 2ГИС
2023-09-09-14-29,1786353199,📍Локации фестиваля
2023-09-09-14-29,1786353199,Вернуться в главное меню
2023-09-09-14-29,266901333,Показать все локации
2023-09-09-14-31,338930932,"В меню можете выбрать то, что вас интересует"
2023-09-09-14-31,230663,/start
2023-09-09-14-31,230663,"В меню можете выбрать то, что вас интересует"
2023-09-09-14-32,270835705,Ночная программа
2023-09-09-14-32,812450327,Бесплатные локации
2023-09-09-14-32,1585235987,Список локаций в 2ГИС
2023-09-09-14-33,1862911807,/start
2023-09-09-14-33,1862911807,"В меню можете выбрать то, что вас интересует"
2023-09-09-14-34,269815692,"В меню можете выбрать то, что вас интересует"
2023-09-09-14-34,269815692,"В меню можете выбрать то, что вас интересует"
2023-09-09-14-38,1199158014,Список локаций в 2ГИС
2023-09-09-14-41,814019962,"В меню можете выбрать то, что вас интересует"
2023-09-09-14-44,644440906,📍Локации фестиваля
2023-09-09-14-44,644440906,/view_static
2023-09-09-14-44,491690917,/start
2023-09-09-14-44,491690917,"В меню можете выбрать то, что вас интересует"
2023-09-09-14-45,491690917,"В меню можете выбрать то, что вас интересует"
2023-09-09-14-45,491690917,Бесплатные локации
2023-09-09-14-45,644440906,Ночная программа
2023-09-09-14-46,195911347,/start
2023-09-09-14-46,195911347,"В меню можете выбрать то, что вас интересует"
2023-09-09-14-46,195911347,Список локаций в 2ГИС
2023-09-09-14-47,1026772784,/start
2023-09-09-14-47,1026772784,"В меню можете выбрать то, что вас интересует"
2023-09-09-14-48,1026772784,Бесплатные локации
2023-09-09-14-48,506816400,Список локаций в 2ГИС
2023-09-09-14-48,453384859,/start
2023-09-09-14-48,453384859,"В меню можете выбрать то, что вас интересует"
2023-09-09-14-49,453384859,Где купить мерч
2023-09-09-14-51,350694033,Вернуться в главное меню
2023-09-09-14-51,350694033,⚡️Купить билеты
2023-09-09-14-52,453384859,Образовательная программа
2023-09-09-14-52,5050347,"В меню можете выбрать то, что вас интересует"
2023-09-09-14-52,5050347,Бесплатные локации
2023-09-09-14-53,453384859,Список локаций в 2ГИС
2023-09-09-14-53,191123397,Вернуться в главное меню
2023-09-09-14-53,191123397,❓F.A.Q.
2023-09-09-14-54,191123397,ℹ️ Информация о фестивале
2023-09-09-14-58,1712686598,/start
2023-09-09-14-58,1712686598,📍Локации фестиваля
2023-09-09-14-58,1712686598,Показать все локации
2023-09-09-14-59,1712686598,Ночная программа
2023-09-09-14-59,1712686598,Образовательная программа
2023-09-09-15-00,373369100,"В меню можете выбрать то, что вас интересует"
2023-09-09-15-00,373369100,Бесплатные локации
2023-09-09-15-02,1712686598,Список локаций в 2ГИС
2023-09-09-15-03,1712686598,Где купить мерч
2023-09-09-15-03,644440906,Показать все локации
2023-09-09-15-03,644440906,/view_static
2023-09-09-15-04,123704982,🟢Мы в соцсетях
2023-09-09-15-05,123704982,💚Художники
2023-09-09-15-05,123704982,Вернуться в главное меню
